"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Aché",-0.338067855125515,-0.338067855125515,-0.167347164546714,-0.00123407198958614,-0.127757937268363,-0.204828785529204,-0.267964549173131,0.038908729398304,-0.338067855125515,-0.267964549173131,-0.197861243220747,-0.197861243220747,-0.267964549173131,-0.204828785529204,-0.267964549173131,-0.347965161945103,-0.127757937268363,-0.338067855125515,-0.197861243220747,-0.171401188458848,-0.197861243220747,-0.267964549173131,-0.197861243220747,-0.101297882506464,-0.197861243220747,-0.171401188458848,-0.171401188458848,-0.287759162812307,-0.338067855125515,-0.267964549173131,-0.171401188458848,-0.267964549173131,-0.171401188458848,-0.267964549173131,-0.171401188458848,-0.338067855125515,-0.338067855125515,-0.338067855125515,-0.347965161945103,-0.227553163679511,0.109012035350688,-0.197861243220747,-0.267964549173131,-0.267964549173131,-0.267964549173131,-0.408171161077899,-0.204828785529204,-0.241504494411233,-0.171401188458848,-0.267964549173131,-0.347965161945103,-0.227553163679511,-0.227553163679511,-0.241504494411233,-0.267964549173131,-0.127757937268363,-0.171401188458848,-0.171401188458848,-0.171401188458848,-0.267964549173131,-0.204828785529204,-0.338067855125515,-0.197861243220747,-0.267964549173131,-0.197861243220747,-0.171401188458848,-0.287759162812307,-0.267964549173131,-0.338067855125515,-0.0748378277445659,-0.241504494411233,-0.227553163679511,-0.127757937268363,-0.101297882506464,-0.171401188458848,-0.265034784662,-0.171401188458848,-0.197861243220747,-0.338067855125515,-0.338067855125515,-0.267964549173131,-0.171401188458848,-0.101297882506464,-0.171401188458848,-0.101297882506464,-0.338067855125515,-0.0748378277445659,-0.241504494411233,-0.267964549173131,-0.241504494411233,-0.101297882506464,-0.197861243220747,-0.267964549173131,-0.171401188458848,-0.171401188458848,-0.267964549173131,-0.197861243220747,-0.267964549173131,-0.0576546313159785,-0.267964549173131
"Aghul",-0.41727747395075,-0.277070862045982,-0.277070862045982,-0.277070862045982,-0.357071474817954,-0.347174167998366,-0.347174167998366,-0.236659476552362,-0.364720232802043,-0.41727747395075,-0.277070862045982,-0.277070862045982,-0.277070862045982,-0.236659476552362,-0.347174167998366,-0.277070862045982,-0.312162991653337,-0.277806001125185,-0.347174167998366,-0.187211107110248,-0.213935098402055,-0.110404195379315,-0.41727747395075,-0.110404195379315,-0.239768348258954,-0.41727747395075,-0.357071474817954,-0.277070862045982,-0.347174167998366,-0.357071474817954,-0.357071474817954,-0.312162991653337,-0.277070862045982,-0.277070862045982,-0.239768348258954,-0.277070862045982,-0.176453477419565,-0.25960575050463,-0.134653865961541,-0.250610807284084,-0.239768348258954,-0.250610807284084,-0.250610807284084,-0.25960575050463,-0.296865475685158,-0.41727747395075,-0.347174167998366,-0.347174167998366,-0.357071474817954,-0.41727747395075,-0.277070862045982,-0.357071474817954,-0.296865475685158,-0.250610807284084,-0.277070862045982,-0.347174167998366,-0.347174167998366,-0.26025845583446,-0.347174167998366,-0.347174167998366,-0.41727747395075,-0.296865475685158,-0.347174167998366,-0.41727747395075,-0.250610807284084,-0.176453477419565,-0.357071474817954,-0.296865475685158,-0.236659476552362,-0.296865475685158,-0.41727747395075,-0.250610807284084,-0.41727747395075,-0.213935098402055,-0.312162991653337,-0.25960575050463,-0.277070862045982,-0.277070862045982,-0.347174167998366,-0.277070862045982,-0.347174167998366,-0.206967556093598,-0.347174167998366,-0.180507501331699,-0.41727747395075,-0.277070862045982,-0.357071474817954,-0.277070862045982,-0.277070862045982,-0.347174167998366,-0.277070862045982,-0.357071474817954,-0.347174167998366,-0.25960575050463,-0.347174167998366,-0.296865475685158,-0.347174167998366,-0.41727747395075,-0.236659476552362,-0.277070862045982
"Aguaruna",-0.40036288171432,-0.233696215047653,-0.187842579677495,-0.312794464220584,-0.330259575761936,-0.40036288171432,-0.229642191135519,-0.184193434834907,-0.330259575761936,-0.350054189401112,-0.289848190268316,-0.238013732957429,-0.206917812985213,-0.303799521000038,-0.365351705369291,-0.260237223071877,-0.267123812118009,-0.233696215047653,-0.233696215047653,-0.330259575761936,-0.330994714841139,-0.292957061974908,-0.40036288171432,-0.330259575761936,-0.330259575761936,-0.330259575761936,-0.303799521000038,-0.267123812118009,-0.330259575761936,-0.350054189401112,-0.330259575761936,-0.350054189401112,-0.330259575761936,-0.365351705369291,-0.303799521000038,-0.267123812118009,-0.40036288171432,-0.109230192869927,-0.289848190268316,-0.303799521000038,-0.303799521000038,-0.260237223071877,-0.330259575761936,-0.312794464220584,-0.20767998192317,-0.16800517743182,-0.303799521000038,-0.303799521000038,-0.40036288171432,-0.350054189401112,-0.289848190268316,-0.350054189401112,-0.0985422601318644,-0.350054189401112,-0.146711813852417,-0.260237223071877,-0.260237223071877,-0.330259575761936,-0.330259575761936,-0.330259575761936,-0.146711813852417,-0.350054189401112,-0.289848190268316,-0.350054189401112,-0.350054189401112,-0.206917812985213,-0.327329811250806,-0.233696215047653,-0.330259575761936,-0.330259575761936,-0.233696215047653,-0.40036288171432,-0.40036288171432,-0.206917812985213,-0.206917812985213,-0.267123812118009,-0.350054189401112,-0.240399820826202,-0.289848190268316,-0.289848190268316,-0.40036288171432,-0.40036288171432,-0.470466187666704,-0.470466187666704,-0.0498463519523993,-0.350054189401112,-0.229642191135519,-0.330259575761936,-0.350054189401112,-0.410260188533908,-0.410260188533908,-0.417908946517997,-0.289848190268316,-0.330259575761936,-0.288473522989515,-0.410260188533908,-0.330259575761936,-0.119949657904784,-0.292957061974908,-0.410260188533908
"Ahlao Th",-0.192565587454488,-0.132359588321691,-0.162873666995724,-0.162873666995724,0.103856810187821,-0.136413612233826,-0.169841209304181,-0.20651691818621,-0.039850251519543,-0.20651691818621,-0.232976972948108,-0.20651691818621,-0.0927703610433397,-0.162873666995724,-0.0927703610433397,-0.232976972948108,-0.0721535891888951,-0.232976972948108,-0.20651691818621,-0.0663103062814414,-0.162873666995724,-0.136413612233826,-0.192565587454488,-0.0927703610433397,-0.169841209304181,-0.0267048328882826,0.0337535042354368,-0.192565587454488,-0.136413612233826,-0.0226670550909556,-0.192565587454488,-0.232976972948108,-0.169841209304181,-0.0721535891888951,-0.232976972948108,-0.0663103062814414,-0.232976972948108,-0.232976972948108,-0.049429211038589,-0.0226670550909556,-0.192565587454488,-0.31297758572008,-0.0663103062814414,0.0738963056233269,-0.109635210171385,-0.136413612233826,-0.0663103062814414,-0.105636039562151,-0.136413612233826,-0.0226670550909556,-0.136413612233826,-0.0226670550909556,-0.169841209304181,-0.0663103062814414,-0.0663103062814414,-0.232976972948108,-0.136413612233826,-0.31297758572008,-0.136413612233826,-0.109635210171385,-0.136413612233826,-0.232976972948108,-0.109635210171385,0.0145545054337469,-0.0663103062814414,-0.0226670550909556,-0.192565587454488,-0.162873666995724,-0.232976972948108,-0.0869108320210789,-0.232976972948108,-0.192565587454488,-0.303080278900492,0.0365074164479293,-0.0226670550909556,0.0967134155807254,-0.232976972948108,-0.169841209304181,-0.252771586587284,-0.162873666995724,-0.232976972948108,-0.0663103062814414,-0.232976972948108,-0.136413612233826,0.179643792863828,-0.232976972948108,0.0107767880942073,-0.232976972948108,-0.162873666995724,-0.136413612233826,-0.192565587454488,-0.136413612233826,-0.0721535891888951,-0.0707225746179916,-0.136413612233826,-0.109635210171385,-0.303080278900492,-0.109635210171385,-0.0663103062814414,-0.0721535891888951
"Akhvakh (Southern dialect)",-0.409415408791998,-0.215970340062891,-0.322499696628092,-0.276009205686237,-0.321846991298262,-0.322499696628092,-0.374404232446969,-0.238694718213197,-0.302009589052586,-0.146917909295373,-0.211971169453657,-0.386537732860672,-0.196895106755173,-0.242748742125331,-0.178488719080401,-0.339312102839614,-0.295998730604013,-0.242748742125331,-0.35910671647879,-0.24945234790388,-0.368990187569947,-0.374404232446969,-0.215970340062891,-0.312852048077715,-0.35910671647879,-0.479518714744382,-0.26920879688723,-0.419312715611586,-0.35910671647879,-0.200575769093252,-0.302009589052586,-0.276009205686237,-0.354793412701004,-0.339312102839614,-0.118282719947605,-0.419312715611586,-0.276009205686237,-0.302009589052586,-0.215970340062891,-0.426961473595675,-0.136537732860672,-0.269289750149555,-0.215970340062891,-0.409415408791998,-0.293556750976962,-0.321846991298262,-0.298900717345993,-0.479518714744382,-0.339312102839614,-0.339312102839614,-0.35910671647879,-0.426961473595675,-0.242748742125331,-0.35910671647879,-0.238694718213197,-0.35910671647879,-0.321846991298262,-0.419312715611586,-0.24945234790388,-0.339101150748319,-0.35910671647879,-0.322499696628092,-0.322499696628092,-0.155032527583936,-0.312852048077715,-0.354566830201293,-0.354793412701004,-0.374404232446969,-0.216732509000848,-0.269289750149555,-0.293556750976962,-0.374404232446969,-0.386537732860672,-0.419312715611586,-0.313218312019878,-0.229518714744382,-0.374404232446969,-0.242748742125331,-0.339312102839614,-0.35910671647879,-0.200575769093252,-0.258461660395512,-0.321846991298262,-0.419312715611586,-0.409415408791998,-0.35910671647879,-0.374404232446969,-0.322499696628092,-0.354566830201293,-0.35910671647879,-0.293556750976962,-0.39636851338213,-0.386537732860672,-0.374404232446969,-0.269289750149555,-0.255950949386067,-0.322499696628092,-0.409415408791998,-0.419312715611586,-0.302009589052586
"Albanian (Tosk variety)",-0.0409528640950163,-0.00898413452560265,-0.239052662732764,-0.165183845978726,-0.105257753196968,-0.0727522600082596,-0.209638777650505,-0.213730308645992,-0.0680675124311038,-0.197477562051638,-0.157955211827433,-0.10627164600436,-0.229221882211306,-0.0916738423795136,-0.0544606544986534,-0.0453911253829211,-0.0881347170607303,-0.141584866696628,-0.165952864095016,-0.0916738423795136,-0.0502203774805594,-0.269645622946309,-0.0986350987367007,-0.14469373840322,-0.164531140648896,-0.239052662732764,-0.117436444247164,-0.197477562051638,-0.138644620444353,-0.157955211827433,-0.252099558142632,0.0154477683180589,-0.0197418538601315,-0.120433849679262,-0.172117415502334,-0.0413677361028896,-0.0058434304956626,-0.0897504093857414,-0.125801579020822,-0.217088381797603,-0.0687502838561899,-0.197477562051638,-0.217088381797603,-0.125801579020822,-0.0546553188042912,-0.0508879927303368,-0.155902461370512,-0.229221882211306,-0.217088381797603,-0.120433849679262,-0.239052662732764,-0.111112629652408,-0.14469373840322,-0.181785300098953,-0.0921364972545137,-0.0722028640950163,-0.157955211827433,-0.197202864095016,-0.269645622946309,-0.228452864095016,-0.253947390812399,-0.157955211827433,-0.239052662732764,-0.14469373840322,-0.322202864095016,-0.252099558142632,-0.157955211827433,-0.0833087076058553,-0.0413677361028896,-0.206938353237265,-0.109862203724562,-0.114327360689386,-0.114327360689386,-0.0490650427790404,-0.14469373840322,-0.0546553188042912,-0.182731391269451,-0.079862629652408,-0.0986350987367007,-0.109036227145566,-0.0432599184438864,-0.182731391269451,-0.209638777650505,-0.0829124875310917,-0.157955211827433,-0.0899697511477785,-0.110900615359126,-0.122907746873712,-0.155902461370512,-0.138682879954647,-0.181785300098953,-0.209638777650505,-0.103452864095016,-0.0810797870047704,-0.239052662732764,-0.172810616595956,-0.185691917529781,-0.197477562051638,-0.0986350987367007,-0.185407746873712
"Andi",-0.146239066117769,-0.178862674106978,-0.308450675841386,-0.358759368154594,-0.189572297543054,-0.289391201281413,-0.0676266793102009,-0.24824467670859,-0.323748191809565,-0.358759368154594,-0.16124789019325,-0.225520298558283,-0.196410219397704,-0.166076468363444,-0.225520298558283,-0.178862674106978,-0.188038677575794,-0.289391201281413,-0.137836969339096,-0.251353548415183,-0.358759368154594,-0.165314299425487,-0.218633709512151,-0.167067556885674,-0.196410219397704,-0.271190950660858,-0.376305432958272,-0.358759368154594,-0.24824467670859,-0.127832678442997,-0.218552756249826,-0.163719808067537,-0.368656674974182,-0.132335284162167,-0.225520298558283,-0.225520298558283,-0.368656674974182,-0.303910789563889,-0.218633709512151,-0.100367369571811,-0.122144707386411,-0.0823839221423847,-0.198796307266476,-0.192092701487928,-0.428862674106978,-0.225520298558283,-0.225520298558283,-0.271843655990688,-0.113519227214737,-0.308450675841386,-0.278777225514297,-0.251353548415183,-0.28865606220221,-0.323748191809565,-0.358759368154594,-0.28572629769108,-0.358759368154594,-0.126401663872094,-0.225520298558283,-0.271190950660858,-0.428862674106978,-0.126401663872094,-0.358759368154594,-0.225520298558283,-0.428862674106978,-0.149919728455849,-0.165314299425487,-0.225520298558283,-0.318334146932543,-0.251353548415183,-0.323748191809565,-0.198796307266476,-0.262562271382474,-0.198796307266476,-0.192092701487928,-0.271190950660858,-0.145951587627659,-0.225520298558283,-0.28572629769108,-0.165314299425487,-0.251353548415183,-0.142589921275181,-0.1789589050208,-0.323748191809565,-0.368656674974182,-0.28865606220221,-0.323748191809565,-0.28572629769108,-0.165314299425487,-0.251353548415183,-0.0411245838203551,-0.24824467670859,-0.251353548415183,-0.220987170701348,-0.28865606220221,-0.220987170701348,-0.242900710339559,-0.358759368154594,-0.308450675841386,-0.428862674106978
"Araona",-0.266632970405713,-0.297882970405713,-0.261306845931842,-0.306404005810886,-0.313123461347568,-0.329026159664861,-0.380122023840478,-0.313123461347568,-0.249018186491985,-0.423651988522003,-0.4115184881083,-0.358961246959593,-0.359613952289423,-0.391907668362335,-0.161614719022121,-0.239821231693618,-0.286103948690211,-0.279862997786662,-0.350332567681209,-0.215602974741732,-0.330671006638293,-0.377161497580148,-0.181452121267797,-0.339123844713917,-0.264857512982727,-0.293428566703343,-0.293065205047398,-0.377161497580148,-0.293065205047398,-0.275509893315467,-0.334640305728524,-0.201289523513472,-0.295575916056843,-0.456426971272917,-0.4115184881083,-0.158990392224625,-0.253846764662179,-0.109613952289423,-0.234009362416504,-0.234009362416504,-0.377161497580148,-0.391681085862624,-0.250272120817167,-0.305542735963105,-0.293065205047398,-0.286103948690211,-0.251490104366272,-0.35238531813813,-0.391907668362335,-0.286103948690211,-0.249085425114988,-0.350332567681209,-0.330671006638293,-0.396220972140121,-0.313290594857018,-0.309997559311025,-0.330671006638293,-0.358961246959593,-0.298985249624036,-0.336014973007324,-0.377161497580148,-0.4115184881083,-0.359613952289423,-0.404068883961202,-0.314863955989959,-0.313290594857018,-0.377161497580148,-0.456426971272917,-0.305542735963105,-0.358961246959593,-0.266729201319535,-0.376426358500945,-0.286566603565211,-0.336014973007324,-0.336014973007324,-0.19660203970011,-0.404068883961202,-0.257591219927592,-0.214171960170828,-0.350332567681209,-0.198437220771334,-0.4115184881083,-0.314863955989959,-0.311866550557861,-0.216144384175858,-0.203263083242033,-0.237690024754583,-0.181452121267797,-0.330671006638293,-0.441590246109372,-0.350332567681209,-0.377161497580148,-0.286087853184409,-0.134879420611456,-0.313123461347568,-0.277372943094713,-0.286566603565211,-0.4115184881083,-0.423651988522003,-0.330671006638293
"Archi",-0.216161807930616,-0.216161807930616,-0.286265113883001,-0.286265113883001,-0.286265113883001,-0.286265113883001,-0.216161807930616,-0.0759551960258481,-0.286265113883001,-0.286265113883001,-0.0494951412639498,-0.356368419835385,-0.146058501978232,-0.286265113883001,-0.216161807930616,-0.216161807930616,-0.216161807930616,-0.286265113883001,-0.216161807930616,-0.216161807930616,-0.216161807930616,-0.146058501978232,-0.286265113883001,-0.286265113883001,-0.119598447216334,-0.146058501978232,-0.216161807930616,-0.296162420702588,-0.175750422436996,-0.216161807930616,-0.119598447216334,-0.286265113883001,-0.189701753168718,-0.0230350865020514,-0.356368419835385,-0.119598447216334,-0.286265113883001,-0.189701753168718,-0.286265113883001,-0.286265113883001,-0.286265113883001,-0.286265113883001,-0.356368419835385,-0.286265113883001,-0.175750422436996,-0.356368419835385,-0.286265113883001,-0.119598447216334,-0.356368419835385,-0.119598447216334,-0.286265113883001,-0.356368419835385,-0.119598447216334,-0.286265113883001,-0.286265113883001,-0.216161807930616,-0.119598447216334,-0.216161807930616,-0.286265113883001,-0.146058501978232,-0.235956421569792,-0.216161807930616,-0.286265113883001,-0.286265113883001,-0.296162420702588,-0.286265113883001,-0.189701753168718,-0.119598447216334,-0.189701753168718,-0.286265113883001,-0.216161807930616,-0.356368419835385,-0.356368419835385,-0.216161807930616,-0.216161807930616,-0.235956421569792,-0.356368419835385,-0.286265113883001,-0.189701753168718,-0.286265113883001,-0.00585189007346398,-0.286265113883001,-0.286265113883001,-0.216161807930616,-0.146058501978232,-0.286265113883001,-0.356368419835385,-0.189701753168718,-0.286265113883001,-0.286265113883001,-0.189701753168718,-0.189701753168718,-0.119598447216334,-0.216161807930616,-0.216161807930616,-0.189701753168718,-0.146058501978232,-0.146058501978232,-0.356368419835385,-0.286265113883001
"Armenian (Eastern variety)",-0.170337172337123,-0.13675606358631,-0.0689033523777888,-0.144336788970774,-0.115393843319644,-0.190174574582798,-0.098395693942162,-0.124278532670603,-0.108952141539758,-0.258641370057676,-0.208374825203354,-0.0615735451971211,-0.254865316145209,-0.150161371399044,-0.181545895304414,-0.170337172337123,-0.130198577247241,-0.221120007909505,-0.211335351463684,-0.208374825203354,-0.146077283613164,-0.232581787171167,-0.190174574582798,-0.0468163023649374,-0.0314868644295649,-0.190827279912628,-0.165853633351729,-0.235282211584407,-0.151445012954725,-0.190174574582798,-0.190174574582798,-0.242731815731505,-0.183598645761335,-0.190827279912628,-0.177207614822375,-0.10550606358631,-0.098395693942162,-0.211335351463684,-0.197760849436237,-0.124278532670603,-0.208374825203354,-0.117317276313416,-0.151445012954725,-0.0411283313083509,-0.065222690039709,-0.249003834713981,-0.22312099598554,-0.22312099598554,-0.22312099598554,-0.227434299763326,-0.144336788970774,-0.117779931188416,-0.144336788970774,-0.22289441348583,-0.242731815731505,-0.0960708406059324,-0.207428734032855,-0.122718125139896,-0.144503922480224,-0.16432631388855,-0.10550606358631,-0.0325028511366774,-0.165853633351729,0.0181703686544192,-0.193070471098047,-0.117301180807615,-0.22312099598554,-0.161884334261499,-0.170337172337123,-0.170337172337123,-0.137617333434091,-0.235282211584407,-0.0851967629917251,-0.146077283613164,-0.235282211584407,-0.197760849436237,-0.208374825203354,-0.208374825203354,-0.16722830063053,-0.124641894326548,-0.190174574582798,-0.22312099598554,0.0550254981248628,-0.0233601108684729,-0.254865316145209,-0.165853633351729,-0.160239487288066,-0.208374825203354,-0.301355807087064,-0.272803573732578,-0.181545895304414,-0.115613185081681,-0.098395693942162,-0.108586270717918,-0.242731815731505,-0.0943937177900922,-0.0710345593168233,-0.144336788970774,-0.165853633351729,-0.160239487288066
"Avar",-0.177667930121224,-0.195048341902499,-0.241538832844354,-0.291805377698676,-0.117461930988427,-0.381010305669919,-0.24080369376515,-0.230924857077237,-0.223991287553629,-0.203501179978123,-0.320804306537122,-0.203501179978123,-0.297860104307667,-0.157442540311603,-0.260598307404326,-0.0741370270984838,-0.118224099926384,-0.131106536583741,-0.275895823372505,-0.288029323786209,-0.260598307404326,-0.195048341902499,-0.177667930121224,-0.176243885822066,-0.23787392925402,-0.131559701583162,-0.24080369376515,-0.177667930121224,-0.320804306537122,-0.0476769723365854,-0.20039230827153,-0.177667930121224,-0.310906999717535,-0.328453064521212,-0.0899846009020361,-0.24080369376515,-0.0899846009020361,-0.144240333050868,-0.203501179978123,-0.20039230827153,-0.104198566957824,-0.320804306537122,-0.203501179978123,-0.150481283954416,-0.328453064521212,-0.199017640992729,-0.223338582223798,-0.131010305669919,-0.25628500362654,-0.0983866976807092,-0.275895823372505,-0.150943938829416,-0.297860104307667,-0.310906999717535,-0.381010305669919,-0.310906999717535,-0.179241291254165,-0.24080369376515,-0.177667930121224,-0.0983866976807092,-0.24080369376515,-0.144240333050868,-0.177667930121224,-0.177667930121224,-0.223338582223798,-0.275895823372505,-0.25628500362654,-0.179241291254165,-0.320804306537122,-0.241538832844354,-0.126874954006006,-0.113462760379194,-0.117461930988427,-0.150943938829416,-0.078549295435034,-0.117461930988427,-0.131010305669919,0.00672778461670454,-0.275895823372505,-0.320804306537122,-0.24080369376515,-0.320804306537122,-0.310906999717535,-0.0983866976807092,-0.214343639003252,-0.25605842112683,-0.150943938829416,-0.177667930121224,-0.381010305669919,-0.118224099926384,-0.310906999717535,-0.310906999717535,-0.0881628190478769,-0.117461930988427,-0.177500796611774,-0.241538832844354,-0.24080369376515,-0.275895823372505,-0.320804306537122,-0.223991287553629
"Aymara",-0.391310191282295,-0.328174427638369,-0.321206885329911,-0.230486807523082,-0.154540218663244,-0.411104804921471,-0.391310191282295,-0.328174427638369,-0.46141349723468,-0.350898805788675,-0.321287838592236,-0.294746830568013,-0.294746830568013,-0.267968428505572,-0.333831876557189,-0.294746830568013,-0.294746830568013,-0.294746830568013,-0.391310191282295,-0.290692806655879,-0.411104804921471,-0.350898805788675,-0.321206885329911,-0.267968428505572,-0.350898805788675,-0.321206885329911,-0.391310191282295,-0.290692806655879,-0.354007677495268,-0.301450436346561,-0.391310191282295,-0.328174427638369,-0.391310191282295,-0.19818346985373,-0.294746830568013,-0.391310191282295,-0.391310191282295,-0.345554839419644,-0.0544764081463663,-0.267968428505572,-0.364850136520397,-0.531516803187064,-0.128080163901346,-0.350898805788675,-0.294746830568013,-0.290692806655879,-0.230486807523082,-0.391310191282295,-0.267968428505572,-0.411104804921471,-0.224643524615629,-0.411104804921471,-0.321206885329911,-0.354007677495268,-0.290692806655879,-0.101479581611593,-0.364850136520397,-0.391310191282295,-0.294746830568013,-0.267968428505572,-0.46141349723468,-0.290692806655879,-0.0544764081463663,-0.391310191282295,-0.321287838592236,-0.267968428505572,-0.391310191282295,-0.18503805122247,-0.18503805122247,-0.321206885329911,-0.364850136520397,-0.388380426771165,-0.46141349723468,-0.245244050355266,-0.301450436346561,-0.294746830568013,-0.181000273425143,-0.321206885329911,-0.350898805788675,-0.245244050355266,-0.328174427638369,-0.411104804921471,-0.301450436346561,-0.391310191282295,-0.328174427638369,-0.350898805788675,-0.18503805122247,-0.301450436346561,-0.267968428505572,-0.321206885329911,-0.267968428505572,-0.294746830568013,-0.207762429372776,-0.196335954049147,-0.411104804921471,-0.46141349723468,-0.224643524615629,-0.229055792952179,-0.251103579377527,-0.19818346985373
"Ayoreo",-0.153980993355218,-0.176705371505524,-0.287941366302302,-0.132380936266797,-0.021527462602234,-0.0880605325733863,-0.217910435596698,-0.27439299162081,-0.0554889115930267,-0.255317758313092,-0.175091441761093,-0.0710506160721153,-0.417529368036709,-0.334431857244157,-0.357323368903913,-0.255317758313092,-0.212507929709317,-0.305488911593027,0.0390412695951577,-0.320293645520624,-0.334598990753606,-0.334598990753606,-0.22259791941006,-0.163765460172167,-0.22259791941006,-0.298681338991301,-0.217910435596698,-0.257106238310175,-0.212507929709317,-0.270393821011576,-0.150203276015678,-0.221581932702948,-0.357323368903913,-0.199838875676364,-0.176705371505524,-0.0844318572441564,-0.158263774995238,-0.231223399581734,-0.255317758313092,-0.255317758313092,-0.214186992488014,-0.287941366302302,-0.148469893476737,-0.157543896470368,-0.380269642856181,-0.194960384418592,-0.284488786063475,-0.307874999461799,-0.327712401707474,-0.380269642856181,-0.186086903293865,-0.127741546972506,-0.0778086326212961,-0.130365873770003,-0.241450875360447,-0.270393821011576,-0.107904144726831,-0.307874999461799,-0.257106238310175,-0.307874999461799,-0.255317758313092,-0.24509387968026,-0.081137786291583,-0.241450875360446,-0.189648298900608,-0.134504727016584,-0.275155160558767,-0.327712401707474,-0.297117369771117,-0.287941366302302,-0.223903330069721,-0.221581932702948,-0.261129627590206,-0.153980993355218,-0.0645629145866578,-0.380269642856181,-0.327631448445149,-0.180298788121213,-0.27439299162081,-0.27279850026286,-0.212507929709317,-0.191462614337708,-0.287941366302302,-0.163765460172167,-0.0252513914725892,-0.275155160558767,-0.127741546972506,-0.244896249080997,-0.0573453531931074,-0.0108446169393192,-0.275155160558767,-0.13506957014852,-0.246915661534419,-0.23691137063832,-0.27279850026286,-0.159865293837141,-0.231068087730867,-0.275155160558767,-0.27439299162081,-0.12219035949104
"Azerbaijani",-0.199838078660893,-0.284124070190402,-0.147300095021932,-0.137147008721752,-0.258290820333503,-0.341221197616605,-0.194085650591473,-0.321426583977429,-0.368652213998488,-0.297385543614614,-0.318496819466299,-0.283223339939712,-0.304614177765907,-0.238065430523882,-0.279640531205008,-0.160603200218216,-0.259864181466443,-0.346368685024446,-0.238065430523882,-0.322161723056633,-0.284124070190402,-0.304614177765907,-0.278074952231534,-0.322161723056633,-0.259864181466443,-0.281015198483809,-0.258123686824053,-0.275671232114778,-0.318496819466299,-0.258123686824053,-0.415142704940343,-0.238065430523882,-0.253757692476567,-0.318496819466299,-0.281015198483809,-0.401427196749401,-0.336907893838819,-0.231566829041695,-0.356518713584784,-0.198846990138663,-0.336907893838819,-0.275671232114778,-0.321426583977429,-0.222739039393037,-0.284124070190402,-0.336681311339109,-0.303961472436077,-0.312240948383138,-0.356518713584784,-0.303961472436077,-0.461633195882197,-0.321215631886134,-0.281015198483809,-0.281015198483809,-0.231566829041695,-0.322161723056633,-0.351104668707763,-0.160603200218216,-0.258290820333503,-0.356518713584784,-0.303961472436077,-0.126452346744281,-0.279640531205008,-0.322161723056633,-0.321215631886134,-0.409075954733491,-0.240576141533327,-0.258290820333503,-0.336907893838819,-0.409075954733491,-0.336907893838819,-0.196490329842756,-0.378482994519945,-0.139222967208945,-0.409075954733491,-0.25140423128737,-0.279640531205008,-0.36279073256726,-0.1753604430504,-0.258123686824053,-0.231566829041695,-0.281015198483809,-0.349069109437686,-0.154759917310763,-0.1753604430504,-0.341221197616605,-0.182690250231068,-0.222342819318273,-0.258123686824053,-0.211633195882198,-0.401427196749401,-0.303961472436077,-0.211633195882198,-0.209857738459211,-0.295332793157693,-0.275671232114778,-0.409075954733491,-0.356518713584784,-0.198846990138663,-0.281015198483809
